agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07374000	1	2004-03-22 11:42:00	CST	Yes	TEB/SMP	USGS	31.28	819000	Good	0.03	0.80	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	819000	3260	175000	4.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	2	2004-03-26 10:26:00	CST	Yes	PAE/JJG	USGS	30.13	785000	Fair	0.04	0.90	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	785000	3260	170000	4.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	3	2004-03-30 12:23:00	CST	Yes	PAE/LBS	USGS	25.94	614000	Good	0.08	0.80	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	614000	3250	156000	3.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	4	2004-05-04 10:36:00	CDT	Yes	CPF/PAE	USGS	28.14	688000	Good	0.00	0.90	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	688000	3270	164000	4.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	5	2004-05-07 11:33:00	CDT	Yes	TEB/PAE	USGS	27.82	679000	Good	-0.05	0.80	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	679000	3250	163000	4.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	6	2004-05-18 14:29:00	CDT	Yes	CPF/JRF	USGS	26.80	643000	Good	-0.02	0.80	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	643000	3260	156000	4.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	7	2004-05-28 09:38:00	CDT	Yes	TEB/SMP	USGS	19.64	496000	Good	0.00	0.80	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	496000	3160	136000	3.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	8	2004-06-09 09:22:00	CDT	Yes	CPF/RRW	USGS	28.68	701000	Good	0.04	0.90	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	701000	3270	166000	4.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	9	2004-06-23 09:14:00	CDT	Yes	CPF/MCL	USGS	30.08	734000	Good	-0.06	0.90	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	734000	3270	170000	4.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	10	2004-07-21 09:46:00	CDT	Yes	CPF/MCL	USGS	22.30	528000	Good	-0.04	0.90	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	528000	3190	143000	3.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	11	2004-08-18 11:10:00	CDT	Yes	CPF/MLD	USGS	11.47	323000	Good	-0.03	1.00	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	323000	3100	111000	2.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	12	2004-09-15 11:03:00	CDT	Yes	TEB/MLD	USGS	10.64	288000	Good	0.00	0.90	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	288000	3010	108000	2.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	13	2004-10-27 10:49:00	CDT	Yes	TEB/MLD	USGS	8.73	262000	Good	0.04	0.80	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	262000	2980	101000	2.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	14	2004-11-17 09:34:00	CST	Yes	CPF/MLD	USGS	22.58	554000	Good	-0.02	1.10	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	554000	3170	146000	3.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	15	2004-12-21 14:33:00	CST	Yes	CPF/MLD	USGS	33.58	966000	Good	0.00	0.80	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	966000	3410	187000	5.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	16	2005-01-28 16:32:00	CST	Yes	MLD/CPF	USGS	37.73	1100000	Good	0.09	0.70	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	1100000	3360	198000	5.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	17	2005-01-31 19:22:00	CST	Yes	CPF/MLD	USGS	38.20	1110000	Good	0.00	0.90	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	1110000	3320	195000	5.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	18	2005-02-03 12:07:00	CST	Yes	TEB/JRF	USGS	38.56	1170000	Good	0.00	0.80	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	1170000	3210	197000	5.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	19	2005-03-23 10:17:00	CST	Yes	CPF/MLD	USGS	21.10	509000	Good	-0.01	0.90	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	509000	3180	138000	3.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	20	2005-04-14 10:40:00	CDT	Yes	CPF/MLD	USGS	28.20	685000	Good	0.04	0.90	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	685000	3240	156000	4.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	21	2005-04-21 11:04:00	CDT	Yes	SMP/TEB	USGS	30.37	759000	Good	0.00	1.00	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	759000	3240	169000	4.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	22	2005-04-28 11:34:00	CDT	Yes	CPF/MLD	USGS	25.80	614000	Good	-0.07	0.90	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	614000	3250	149000	4.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	23	2005-05-11 11:11:00	CDT	Yes	CPF/MLD	USGS	21.50	537000	Good	-0.02	0.90	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	537000	3150	136000	3.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	24	2005-05-25 11:41:00	CDT	Yes	TEB/MLD	USGS	11.33	323000	Good	0.00	0.90	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	323000	3060	107000	3.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	25	2005-06-03 08:49:00	CDT	Yes	TEB/PAE	USGS	15.86	402000	Good	-0.02	1.00	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	402000	3100	119000	3.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	26	2005-06-15 10:46:00	CDT	Yes	TEB/CPF	USGS	9.80	287000	Good	0.00	0.70	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	287000	3090	103000	2.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	27	2005-06-29 08:36:00	CDT	Yes	CPF/SMP	USGS	14.62	386000	Good	-0.07	0.90	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	386000	3100	116000	3.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	28	2005-07-13 10:36:00	CDT	Yes	SMP/TEB	USGS	9.70	275000	Good	0.00	0.70	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	275000	3030	102000	2.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	29	2005-08-09 13:04:00	CDT	Yes	CPF/MLD	USGS	5.74	192000	Good	0.00	0.90	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	192000	3030	89500	2.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	30	2005-09-08 09:41:00	CDT	Yes	CPF/MLD	USGS	9.98	276000	Good	0.00	0.70	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	276000	3010	99600	2.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	31	2005-10-12 08:45:00	CDT	Yes	CPF/MLD	USGS	6.48	208000	Good	0.03	0.90	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	208000	2970	91300	2.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	32	2005-11-15 09:31:00	CST	Yes	CPF/MLD	USGS	4.95	167000	Good	0.00	0.70	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	167000	3020	86200	1.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	33	2006-01-11 09:30:00	CST	Yes	GBR/CPF	USGS	7.51	235000	Good	0.00	1.00	Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	235000	3120	94700	2.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	34	2006-01-31 13:38:00	CST	Yes	TEB/GBR	USGS	22.14	578000	Fair				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	578000	3110	143000	4.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	35	2006-02-06 12:17:00	CST	Yes	TEB/JRF	USGS	24.64	752000	Fair				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	752000	3100	152000	4.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	36	2006-02-15 08:59:00	CST	Yes	MLD/GBR	USGS	20.18	510000	Good				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	510000	3170	137000	3.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	37	2006-03-16 11:42:00	CST	Yes	MLD/CPF	USGS	9.66	289000	Good				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	289000	3040	102000	2.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	38	2006-04-05 15:40:00	CDT	Yes	GBR/MLD	USGS	19.46	488000	Good				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	488000	3070	134000	3.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	39	2006-04-19 09:46:00	CDT	Yes	MLD/CPF	USGS	16.72	442000	Good				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	442000	3080	125000	3.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	40	2006-05-09 13:07:00	CDT	Yes	MLD/CPF	USGS	21.32	544000	Good				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	544000	3130	141000	3.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	41	2006-05-31 14:26:00	CDT	Yes	CPF/MLD	USGS	14.13	416000	Fair				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	416000	3140	117000	3.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	42	2006-06-14 14:50:00	CDT	Yes	CPF/MLD	USGS	11.69	328000	Fair			Clear	NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	328000	3030	109000	3.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	43	2006-06-26 14:48:00	CDT	Yes	CPF/MLD	USGS	7.44	236000	Fair				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	236000	3000	94500	2.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	44	2006-07-17 15:37:00	CDT	Yes	CPF/CGS	USGS	7.01	227000	Fair				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	227000	2990	93100	2.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	45	2006-08-21 14:00:00	CDT	Yes	CPF/MLD	USGS	4.86	166000	Fair				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	166000	2990	85900	1.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	46	2006-09-19 12:24:00	CDT	Yes	TEB/CPF	USGS	5.11	175000	Fair				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	175000	2960	86700	2.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	47	2006-10-18 13:40:00	CDT	Yes	TEB/MLD	USGS	10.29	299000	Good				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	299000	3080	107000	2.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	48	2006-11-13 15:48:00	CST	Yes	MLD/CPF	USGS	17.01	428000	Fair				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	428000	3100	123000	3.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	49	2007-01-23 14:52:00	CST	Yes	MLD/CPF	USGS	31.75	880000	Good				NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	880000	3250	173000	5.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	50	2007-02-26 16:02:00	CST	Yes	MLD/CPF	USGS	15.18	385000	Good	0.00	0.50		NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	385000	3080	122000	3.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	51	2007-03-19 13:53:00	CDT	Yes	MLD/CPF	USGS	24.86	619000	Fair	0.00	0.50		NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	619000	3100	149000	4.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	52	2007-04-02 14:22:00	CDT	Yes	CPF/GBR	USGS	23.91	599000	Good	0.00	0.80		NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	599000	3160	147000	4.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	53	2007-04-16 13:20:00	CDT	Yes	MLD/CPF	USGS	25.45	624000	Good	0.00	0.60		NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	624000	3230	154000	4.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07374000	54	2007-04-30 14:21:00	CDT	Yes	MLD/CPF	USGS	26.61	652000	Unspecified	0.00	0.50		NONE	1	Imported Channel 1	UNSP	QADCP	VADCP	652000	3220	157000	4.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
