cumulative_seconds,WaterSurfaceElevation,Discharge
0.0,10.31,296000
86400.0,10.39,298000
172800.0,10.24,294000
259200.0,9.84,286000
345600.0,9.53,279000
432000.0,9.25,273000
518400.0,8.86,264000
604800.0,8.66,260000
691200.0,8.79,263000
777600.0,9.65,281000
864000.0,10.19,293000
950400.0,11.17,315000
1036800.0,12.43,342000
1123200.0,13.47,364000
1209600.0,14.14,379000
1296000.0,14.43,385000
1382400.0,14.45,386000
1468800.0,14.11,378000
1555200.0,13.79,371000
1641600.0,13.24,359000
1728000.0,12.42,342000
1814400.0,11.51,322000
1900800.0,10.68,304000
1987200.0,10.12,292000
2073600.0,9.92,287000
2160000.0,9.74,283000
2246400.0,9.68,282000
2332800.0,9.7,283000
2419200.0,9.59,280000
2505600.0,9.48,278000
2592000.0,9.4,276000
2678400.0,9.46,277000
2764800.0,9.5,278000
2851200.0,9.46,277000
2937600.0,9.62,281000
3024000.0,9.69,282000
3110400.0,9.93,288000
3196800.0,10.28,295000
3283200.0,10.27,295000
3369600.0,10.39,298000
3456000.0,10.62,303000
3542400.0,11.04,312000
3628800.0,11.59,324000
3715200.0,12.19,337000
3801600.0,12.87,351000
3888000.0,13.26,360000
3974400.0,13.3,361000
4060800.0,13.05,355000
4147200.0,12.67,347000
4233600.0,12.22,337000
4320000.0,11.81,328000
4406400.0,11.48,321000
4492800.0,11.0,311000
4579200.0,10.37,297000
4665600.0,9.9,287000
4752000.0,9.75,284000
4838400.0,9.99,289000
4924800.0,11.07,312000
5011200.0,12.98,354000
5097600.0,15.17,401000
5184000.0,17.55,453000
5270400.0,19.82,501000
5356800.0,21.72,542000
5443200.0,23.48,580000
5529600.0,24.89,610000
5616000.0,25.76,629000
5702400.0,26.54,646000
5788800.0,27.73,672000
5875200.0,28.92,702000
5961600.0,29.46,718000
6048000.0,29.86,732000
6134400.0,30.16,759000
6220800.0,30.54,775000
6307200.0,30.95,792000
6393600.0,31.31,806000
6480000.0,31.62,819000
6566400.0,31.93,832000
6652800.0,32.24,845000
6739200.0,32.52,857000
6825600.0,32.81,869000
6912000.0,33.05,879000
6998400.0,33.32,890000
7084800.0,33.6,902000
7171200.0,33.85,913000
7257600.0,34.05,921000
7344000.0,34.27,931000
7430400.0,34.51,941000
7516800.0,34.74,951000
7603200.0,35.19,970000
7689600.0,35.49,982000
7776000.0,35.69,991000
7862400.0,35.82,996000
7948800.0,35.78,995000
8035200.0,35.68,991000
8121600.0,35.53,984000
8208000.0,35.26,973000
8294400.0,34.97,961000
8380800.0,34.67,948000
8467200.0,34.3,932000
8553600.0,33.75,909000
8640000.0,33.03,878000
8726400.0,32.28,847000
8812800.0,31.45,812000
8899200.0,30.78,784000
8985600.0,30.35,767000
9072000.0,29.95,751000
9158400.0,29.6,737000
9244800.0,29.46,732000
9331200.0,29.47,732000
9417600.0,29.5,733000
9504000.0,29.6,737000
9590400.0,29.75,743000
9676800.0,29.95,751000
9763200.0,30.2,761000
9849600.0,30.53,774000
9936000.0,31.01,794000
10022400.0,31.45,812000
10108800.0,31.8,827000
10195200.0,32.22,844000
10281600.0,32.83,870000
10368000.0,33.62,903000
10454400.0,34.46,939000
10540800.0,35.43,980000
10627200.0,36.38,1020000
10713600.0,37.33,1060000
10800000.0,38.16,1100000
10886400.0,39.03,1130000
10972800.0,40.21,1190000
11059200.0,41.36,1240000
11145600.0,42.35,1290000
11232000.0,43.09,1320000
11318400.0,43.73,1350000
