# h, wttedPerim, Area, R
0.000000,10.000000,0.000000,0.000000
0.200000,10.447214,2.020000,5.171888
0.400000,10.894427,4.080000,2.670203
0.600000,11.341641,6.180000,1.835217
0.800000,11.788854,8.320000,1.416930
1.000000,12.236068,10.500000,1.165340
1.200000,12.683282,12.720000,0.997113
1.400000,13.130495,14.980000,0.876535
1.600000,13.577709,17.280000,0.785747
1.800000,14.024922,19.620000,0.714828
2.000000,14.472136,22.000000,0.657824
2.200000,14.919350,24.420000,0.610948
2.400000,15.366563,26.880000,0.571673
2.600000,15.813777,29.380000,0.538250
2.800000,16.260990,31.920000,0.509430
3.000000,16.708204,34.500000,0.484296
3.200000,17.155418,37.120000,0.462161
3.400000,17.602631,39.780000,0.442500
3.600000,18.049845,42.480000,0.424902
3.800000,18.497058,45.220000,0.409046
4.000000,18.944272,48.000000,0.394672
4.200000,19.391486,50.820000,0.381572
4.400000,19.838699,53.680000,0.369573
4.600000,20.285913,56.580000,0.358535
4.800000,20.733126,59.520000,0.348339
5.000000,21.180340,62.500000,0.338885
5.200000,21.627553,65.520000,0.330091
5.400000,22.074767,68.580000,0.321883
5.600000,22.521981,71.680000,0.314202
5.800000,22.969194,74.820000,0.306993
6.000000,23.416408,78.000000,0.300210
6.200000,23.863621,81.220000,0.293815
6.400000,24.310835,84.480000,0.287770
6.600000,24.758049,87.780000,0.282047
6.800000,25.205262,91.120000,0.276616
7.000000,25.652476,94.500000,0.271455
7.200000,26.099689,97.920000,0.266541
7.400000,26.546903,101.380000,0.261855
7.600000,26.994117,104.880000,0.257381
7.800000,27.441330,108.420000,0.253102
8.000000,27.888544,112.000000,0.249005
8.200000,28.335757,115.620000,0.245077
8.400000,28.782971,119.280000,0.241306
8.600000,29.230185,122.980000,0.237682
8.800000,29.677398,126.720000,0.234197
9.000000,30.124612,130.500000,0.230840
9.200000,30.571825,134.320000,0.227604
9.400000,31.019039,138.180000,0.224483
9.600000,31.466253,142.080000,0.221469
9.800000,31.913466,146.020000,0.218555
10.000000,32.360680,150.000000,0.215738
10.200000,52.364679,156.000000,0.335671
10.400000,52.764679,164.000000,0.321736
10.600000,53.164679,172.000000,0.309097
10.800000,53.564679,180.000000,0.297582
11.000000,53.964679,188.000000,0.287046
11.200000,54.364679,196.000000,0.277371
11.400000,54.764679,204.000000,0.268454
11.600000,55.164679,212.000000,0.260211
11.800000,55.564679,220.000000,0.252567
12.000000,55.964679,228.000000,0.245459
12.200000,56.364679,236.000000,0.238833
12.400000,56.764679,244.000000,0.232642
12.600000,57.164679,252.000000,0.226844
12.800000,57.564679,260.000000,0.221403
13.000000,57.964679,268.000000,0.216286
13.200000,58.364679,276.000000,0.211466
13.400000,58.764679,284.000000,0.206918
13.600000,59.164679,292.000000,0.202619
13.800000,59.564679,300.000000,0.198549
14.000000,59.964679,308.000000,0.194691
14.200000,60.364679,316.000000,0.191027
14.400000,60.764679,324.000000,0.187545
14.600000,61.164679,332.000000,0.184231
14.800000,61.564679,340.000000,0.181073
15.000000,61.964679,348.000000,0.178059
15.200000,62.364679,356.000000,0.175182
15.400000,62.764679,364.000000,0.172430
15.600000,63.164679,372.000000,0.169798
15.800000,63.564679,380.000000,0.167275
16.000000,63.964679,388.000000,0.164857
16.200000,64.364679,396.000000,0.162537
16.400000,64.764679,404.000000,0.160309
16.600000,65.164679,412.000000,0.158167
16.800000,65.564679,420.000000,0.156106
17.000000,65.964679,428.000000,0.154123
17.200000,66.364679,436.000000,0.152213
17.400000,66.764679,444.000000,0.150371
17.600000,67.164679,452.000000,0.148594
17.800000,67.564679,460.000000,0.146880
18.000000,67.964679,468.000000,0.145224
18.200000,68.364679,476.000000,0.143623
18.400000,68.764679,484.000000,0.142076
18.600000,69.164679,492.000000,0.140579
18.800000,69.564679,500.000000,0.139129
19.000000,69.964679,508.000000,0.137726
19.200000,70.364679,516.000000,0.136366
19.400000,70.764679,524.000000,0.135047
19.600000,71.164679,532.000000,0.133768
19.800000,71.564679,540.000000,0.132527
20.000000,71.964679,548.000000,0.131322
20.200000,72.364679,556.000000,0.130152
20.400000,72.764679,564.000000,0.129015
20.600000,73.164679,572.000000,0.127910
20.800000,73.564679,580.000000,0.126836
21.000000,73.964679,588.000000,0.125790
21.200000,74.364679,596.000000,0.124773
21.400000,74.764679,604.000000,0.123783
21.600000,75.164679,612.000000,0.122818
21.800000,75.564679,620.000000,0.121879
22.000000,75.964679,628.000000,0.120963
22.200000,76.364679,636.000000,0.120070
22.400000,76.764679,644.000000,0.119200
22.600000,77.164679,652.000000,0.118351
22.800000,77.564679,660.000000,0.117522
23.000000,77.964679,668.000000,0.116714
23.200000,78.364679,676.000000,0.115924
23.400000,78.764679,684.000000,0.115153
23.600000,79.164679,692.000000,0.114400
23.800000,79.564679,700.000000,0.113664
24.000000,79.964679,708.000000,0.112944
24.200000,80.364679,716.000000,0.112241
24.400000,80.764679,724.000000,0.111553
24.600000,81.164679,732.000000,0.110881
24.800000,81.564679,740.000000,0.110223
25.000000,81.964679,748.000000,0.109578
25.200000,82.364679,756.000000,0.108948
25.400000,82.764679,764.000000,0.108331
25.600000,83.164679,772.000000,0.107726
25.800000,83.564679,780.000000,0.107134
26.000000,83.964679,788.000000,0.106554
26.200000,84.364679,796.000000,0.105986
26.400000,84.764679,804.000000,0.105429
26.600000,85.164679,812.000000,0.104883
26.800000,85.564679,820.000000,0.104347
27.000000,85.964679,828.000000,0.103822
27.200000,86.364679,836.000000,0.103307
27.400000,86.764679,844.000000,0.102802
27.600000,87.164679,852.000000,0.102306
27.800000,87.564679,860.000000,0.101819
28.000000,87.964679,868.000000,0.101342
28.200000,88.364679,876.000000,0.100873
28.400000,88.764679,884.000000,0.100413
28.600000,89.164679,892.000000,0.099960
28.800000,89.564679,900.000000,0.099516
29.000000,89.964679,908.000000,0.099080
29.200000,90.364679,916.000000,0.098651
29.400000,90.764679,924.000000,0.098230
29.600000,91.164679,932.000000,0.097816
29.800000,91.564679,940.000000,0.097409
30.000000,91.964679,948.000000,0.097009
30.200000,92.364679,956.000000,0.096616
30.400000,92.764679,964.000000,0.096229
30.600000,93.164679,972.000000,0.095848
30.800000,93.564679,980.000000,0.095474
31.000000,93.964679,988.000000,0.095106
31.200000,94.364679,996.000000,0.094744
31.400000,94.764679,1004.000000,0.094387
31.600000,95.164679,1012.000000,0.094036
31.800000,95.564679,1020.000000,0.093691
32.000000,95.964679,1028.000000,0.093351
32.200000,96.364679,1036.000000,0.093016
32.400000,96.764679,1044.000000,0.092686
32.600000,97.164679,1052.000000,0.092362
32.800000,97.564679,1060.000000,0.092042
33.000000,97.964679,1068.000000,0.091727
33.200000,98.364679,1076.000000,0.091417
33.400000,98.764679,1084.000000,0.091111
33.600000,99.164679,1092.000000,0.090810
33.800000,99.564679,1100.000000,0.090513
34.000000,99.964679,1108.000000,0.090221
34.200000,100.364679,1116.000000,0.089933
34.400000,100.764679,1124.000000,0.089648
34.600000,101.164679,1132.000000,0.089368
34.800000,101.564679,1140.000000,0.089092
35.000000,101.964679,1148.000000,0.088819
35.200000,102.364679,1156.000000,0.088551
35.400000,102.764679,1164.000000,0.088286
35.600000,103.164679,1172.000000,0.088024
35.800000,103.564679,1180.000000,0.087767
36.000000,103.964679,1188.000000,0.087512
36.200000,104.364679,1196.000000,0.087261
36.400000,104.764679,1204.000000,0.087014
36.600000,105.164679,1212.000000,0.086770
36.800000,105.564679,1220.000000,0.086528
37.000000,105.964679,1228.000000,0.086290
37.200000,106.364679,1236.000000,0.086056
37.400000,106.764679,1244.000000,0.085824
37.600000,107.164679,1252.000000,0.085595
37.800000,107.564679,1260.000000,0.085369
38.000000,107.964679,1268.000000,0.085146
38.200000,108.364679,1276.000000,0.084925
38.400000,108.764679,1284.000000,0.084708
38.600000,109.164679,1292.000000,0.084493
38.800000,109.564679,1300.000000,0.084281
39.000000,109.964679,1308.000000,0.084071
39.200000,110.364679,1316.000000,0.083864
39.400000,110.764679,1324.000000,0.083659
39.600000,111.164679,1332.000000,0.083457
39.800000,111.564679,1340.000000,0.083257
40.000000,111.964679,1348.000000,0.083060
